Date;"Start Time";"End Time";"Forecast in MW";"Actual in MW"
2019-01-01;00:00:00;00:15:00;0;0
2019-01-01;00:15:00;00:30:00;0;0
2019-01-01;00:30:00;00:45:00;0;0
2019-01-01;00:45:00;01:00:00;0;0
2019-01-01;01:00:00;01:15:00;0;0
2019-01-01;01:15:00;01:30:00;0;0
2019-01-01;01:30:00;01:45:00;0;0
2019-01-01;01:45:00;02:00:00;0;0
2019-01-01;02:00:00;02:15:00;0;0
2019-01-01;02:15:00;02:30:00;0;0
2019-01-01;02:30:00;02:45:00;0;0
2019-01-01;02:45:00;03:00:00;0;0
2019-01-01;03:00:00;03:15:00;0;0
2019-01-01;03:15:00;03:30:00;0;0
2019-01-01;03:30:00;03:45:00;0;0
2019-01-01;03:45:00;04:00:00;0;0
2019-01-01;04:00:00;04:15:00;0;0
2019-01-01;04:15:00;04:30:00;0;0
2019-01-01;04:30:00;04:45:00;0;0
2019-01-01;04:45:00;05:00:00;0;0
2019-01-01;05:00:00;05:15:00;0;0
2019-01-01;05:15:00;05:30:00;0;0
2019-01-01;05:30:00;05:45:00;0;0
2019-01-01;05:45:00;06:00:00;0;0
2019-01-01;06:00:00;06:15:00;0;0
2019-01-01;06:15:00;06:30:00;0;0
2019-01-01;06:30:00;06:45:00;0;0
2019-01-01;06:45:00;07:00:00;0;0
2019-01-01;07:00:00;07:15:00;0;0
2019-01-01;07:15:00;07:30:00;0;0
2019-01-01;07:30:00;07:45:00;,2;0
2019-01-01;07:45:00;08:00:00;,7;0
2019-01-01;08:00:00;08:15:00;3,7;,9
2019-01-01;08:15:00;08:30:00;13,7;5,1
2019-01-01;08:30:00;08:45:00;38,4;21
2019-01-01;08:45:00;09:00:00;69,9;43,9
2019-01-01;09:00:00;09:15:00;103,9;69,1
2019-01-01;09:15:00;09:30:00;144,6;101,7
2019-01-01;09:30:00;09:45:00;191,1;143,8
2019-01-01;09:45:00;10:00:00;238,7;177,9
2019-01-01;10:00:00;10:15:00;277,4;219,5
2019-01-01;10:15:00;10:30:00;312,8;253,2
2019-01-01;10:30:00;10:45:00;348,6;273
2019-01-01;10:45:00;11:00:00;379,5;300,9
2019-01-01;11:00:00;11:15:00;406,2;314,3
2019-01-01;11:15:00;11:30:00;426,4;341
2019-01-01;11:30:00;11:45:00;436,9;353,2
2019-01-01;11:45:00;12:00:00;440;340,3
2019-01-01;12:00:00;12:15:00;439,6;320,6
2019-01-01;12:15:00;12:30:00;434,4;308,6
2019-01-01;12:30:00;12:45:00;421,6;287,8
2019-01-01;12:45:00;13:00:00;402,4;272,1
2019-01-01;13:00:00;13:15:00;378,5;263,7
2019-01-01;13:15:00;13:30:00;349,9;255,7
2019-01-01;13:30:00;13:45:00;314,6;250,7
2019-01-01;13:45:00;14:00:00;278,5;233,9
2019-01-01;14:00:00;14:15:00;242,1;217,1
2019-01-01;14:15:00;14:30:00;204,9;176
2019-01-01;14:30:00;14:45:00;163;143,8
2019-01-01;14:45:00;15:00:00;124,5;109,8
2019-01-01;15:00:00;15:15:00;92,1;76,4
2019-01-01;15:15:00;15:30:00;64,4;48,8
2019-01-01;15:30:00;15:45:00;43,2;26,7
2019-01-01;15:45:00;16:00:00;25;10,5
2019-01-01;16:00:00;16:15:00;10;2,8
2019-01-01;16:15:00;16:30:00;1,8;,6
2019-01-01;16:30:00;16:45:00;0;0
2019-01-01;16:45:00;17:00:00;0;0
2019-01-01;17:00:00;17:15:00;0;0
2019-01-01;17:15:00;17:30:00;0;0
2019-01-01;17:30:00;17:45:00;0;0
2019-01-01;17:45:00;18:00:00;0;0
2019-01-01;18:00:00;18:15:00;0;0
2019-01-01;18:15:00;18:30:00;0;0
2019-01-01;18:30:00;18:45:00;0;0
2019-01-01;18:45:00;19:00:00;0;0
2019-01-01;19:00:00;19:15:00;0;0
2019-01-01;19:15:00;19:30:00;0;0
2019-01-01;19:30:00;19:45:00;0;0
2019-01-01;19:45:00;20:00:00;0;0
2019-01-01;20:00:00;20:15:00;0;0
2019-01-01;20:15:00;20:30:00;0;0
2019-01-01;20:30:00;20:45:00;0;0
2019-01-01;20:45:00;21:00:00;0;0
2019-01-01;21:00:00;21:15:00;0;0
2019-01-01;21:15:00;21:30:00;0;0
2019-01-01;21:30:00;21:45:00;0;0
2019-01-01;21:45:00;22:00:00;0;0
2019-01-01;22:00:00;22:15:00;0;0
2019-01-01;22:15:00;22:30:00;0;0
2019-01-01;22:30:00;22:45:00;0;0
2019-01-01;22:45:00;23:00:00;0;0
2019-01-01;23:00:00;23:15:00;0;0
2019-01-01;23:15:00;23:30:00;0;0
2019-01-01;23:30:00;23:45:00;0;0
