Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"25-May, 2018",10:00 PM,39.86,0.0,22,5,25,5,21,0.5672394379987272,0.0,0.9565217391304348,0.36363636363636365,0.8,0.6666666666666666
"25-May, 2018",11:00 PM,34.89,0.0,23,5,25,5,21,0.5429088950898322,0.0,1.0,0.36363636363636365,0.8,0.6666666666666666
"26-May, 2018",12:00 AM,35.97,0.0,0,5,26,6,21,0.548196015078083,0.0,0.0,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",1:00 AM,34.17,0.0,1,5,26,6,21,0.5393841484309982,0.0,0.043478260869565216,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",2:00 AM,33.4,0.0,2,5,26,6,21,0.5356146276986342,0.0,0.08695652173913043,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",3:00 AM,31.63,0.0,3,5,26,6,21,0.5269496254956676,0.0,0.13043478260869565,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",4:00 AM,33.01,0.0,4,5,26,6,21,0.5337053899250992,0.0,0.17391304347826086,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",5:00 AM,35.89,0.04,5,5,26,6,21,0.5478043765604348,0.04938271604938271,0.21739130434782608,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",6:00 AM,43.4,0.13,6,5,26,6,21,0.5845694424046606,0.16049382716049382,0.2608695652173913,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",7:00 AM,47.37,0.26,7,5,26,6,21,0.604004503842953,0.32098765432098764,0.30434782608695654,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",8:00 AM,48.01,0.43,8,5,26,6,21,0.6071376119841387,0.5308641975308641,0.34782608695652173,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",9:00 AM,44.99,0.57,9,5,26,6,21,0.5923532579429188,0.7037037037037036,0.3913043478260869,0.36363636363636365,0.8333333333333334,0.8333333333333334
