,Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,map_ap,map_fp
0,"1-Jan, 2019",12:00 AM,28.32,0.23,26.77,0,1,1,2,1,0.64,0.63
1,"1-Jan, 2019",1:00 AM,10.07,0.23,5.2,1,1,1,2,1,0.55,0.53
2,"1-Jan, 2019",2:00 AM,-4.08,0.23,4.97,2,1,1,2,1,0.48,0.52
3,"1-Jan, 2019",3:00 AM,-9.91,0.22,-1.48,3,1,1,2,1,0.45,0.49
4,"1-Jan, 2019",4:00 AM,-7.41,0.23,-5.54,4,1,1,2,1,0.46,0.47
5,"1-Jan, 2019",5:00 AM,-12.55,0.25,-9.72,5,1,1,2,1,0.44,0.45
6,"1-Jan, 2019",6:00 AM,-17.25,0.29,-17.41,6,1,1,2,1,0.41,0.41
7,"1-Jan, 2019",7:00 AM,-15.07,0.31,-12.9,7,1,1,2,1,0.42,0.44
8,"1-Jan, 2019",8:00 AM,-4.93,0.33,2.1,8,1,1,2,1,0.48,0.51
9,"1-Jan, 2019",9:00 AM,-6.33,0.38,-10.66,9,1,1,2,1,0.47,0.45
10,"1-Jan, 2019",10:00 AM,-4.93,0.43,-3.87,10,1,1,2,1,0.48,0.48
11,"1-Jan, 2019",11:00 AM,0.45,0.48,-2.0,11,1,1,2,1,0.5,0.49
12,"1-Jan, 2019",12:00 PM,0.12,0.55,-5.54,12,1,1,2,1,0.5,0.47
13,"1-Jan, 2019",1:00 PM,-0.02,0.58,8.32,13,1,1,2,1,0.5,0.54
14,"1-Jan, 2019",2:00 PM,0.0,0.6,-8.98,14,1,1,2,1,0.5,0.46
15,"1-Jan, 2019",3:00 PM,-0.03,0.64,2.83,15,1,1,2,1,0.5,0.51
16,"1-Jan, 2019",4:00 PM,1.97,0.66,-2.94,16,1,1,2,1,0.51,0.49
17,"1-Jan, 2019",5:00 PM,9.06,0.67,12.46,17,1,1,2,1,0.55,0.56
18,"1-Jan, 2019",6:00 PM,0.07,0.7,-0.18,18,1,1,2,1,0.5,0.5
19,"1-Jan, 2019",7:00 PM,-4.97,0.72,-2.13,19,1,1,2,1,0.48,0.49
20,"1-Jan, 2019",8:00 PM,-6.98,0.74,-7.01,20,1,1,2,1,0.47,0.46
21,"1-Jan, 2019",9:00 PM,-24.93,0.77,-33.59,21,1,1,2,1,0.38,0.33
22,"1-Jan, 2019",10:00 PM,-4.87,0.78,0.73,22,1,1,2,1,0.48,0.5
23,"1-Jan, 2019",11:00 PM,-28.93,0.77,-29.73,23,1,1,2,1,0.36,0.35
24,"2-Jan, 2019",12:00 AM,-33.57,0.77,-26.13,0,1,2,3,1,0.33,0.37
25,"2-Jan, 2019",1:00 AM,-45.92,0.74,-47.68,1,1,2,3,1,0.27,0.26
26,"2-Jan, 2019",2:00 AM,-48.29,0.73,-40.53,2,1,2,3,1,0.26,0.3
27,"2-Jan, 2019",3:00 AM,-44.99,0.73,-40.06,3,1,2,3,1,0.28,0.3
28,"2-Jan, 2019",4:00 AM,-48.93,0.74,-60.13,4,1,2,3,1,0.26,0.2
29,"2-Jan, 2019",5:00 AM,-29.91,0.74,-32.28,5,1,2,3,1,0.35,0.34
