Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp,norm_hh,norm_mm,norm_dd,norm_ww
"31-Mar, 2019",9:00 PM,39.08,0.0,35.96182642977446,21,3,31,0,13,0.6104411973329551,0.0,0.5871904705160119,0.9130434782608695,0.1818181818181818,0.9999999999999999,0.0
"31-Mar, 2019",10:00 PM,40.3,0.0,32.31381324908159,22,3,31,0,13,0.6162103371636639,0.0,0.5706228136683403,0.9565217391304348,0.1818181818181818,0.9999999999999999,0.0
"31-Mar, 2019",11:00 PM,37.51,0.0,39.22997750400022,23,3,31,0,13,0.6030169764032723,0.0,0.6020329622621183,1.0,0.1818181818181818,0.9999999999999999,0.0
"1-Apr, 2019",12:00 AM,31.06,0.0,34.65766951555177,0,4,1,1,13,0.5725161961507543,0.0,0.5812675686074569,0.0,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",1:00 AM,29.96,0.0,35.589376556238676,1,4,1,1,13,0.5673145126968365,0.0,0.5854989684868094,0.043478260869565216,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",2:00 AM,31.07,0.0,36.172571455778915,2,4,1,1,13,0.5725634841821535,0.0,0.5881475808937031,0.08695652173913043,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",3:00 AM,31.08,0.0,29.699183216633944,3,4,1,1,13,0.5726107722135528,0.0,0.5587483244558366,0.13043478260869565,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",4:00 AM,31.09,0.0,37.243515411293735,4,4,1,1,13,0.572658060244952,0.0,0.5930113330456862,0.17391304347826086,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",5:00 AM,37.22,0.0,42.41968072269939,5,4,1,1,13,0.601645623492694,0.0,0.6165191786642434,0.21739130434782608,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",6:00 AM,47.08,0.04,43.340473729297344,6,4,1,1,13,0.6482716224523574,0.04938271604938271,0.6207010118445044,0.2608695652173913,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",7:00 AM,56.95,0.21,59.41405252962618,7,4,1,1,13,0.6949449094434199,0.25925925925925924,0.6937000731656803,0.30434782608695654,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",8:00 AM,53.56,0.41,50.80303524803257,8,4,1,1,13,0.6789142667990733,0.5061728395061728,0.6545926543148206,0.34782608695652173,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",9:00 AM,45.95,0.57,44.37659539554359,9,4,1,1,13,0.6429280749042419,0.7037037037037036,0.6254066166130554,0.3913043478260869,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",10:00 AM,42.2,0.66,39.99521138531628,10,4,1,1,13,0.625195063129522,0.8148148148148148,0.6055083149338015,0.43478260869565216,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",11:00 AM,39.11,0.71,33.22960877676496,11,4,1,1,13,0.6105830614271528,0.8765432098765431,0.5747819505172945,0.4782608695652174,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",12:00 PM,34.3,0.7,39.68030050269835,12,4,1,1,13,0.5878375183241122,0.8641975308641975,0.6040781294650581,0.5217391304347826,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",1:00 PM,32.29,0.65,37.477940623750044,13,4,1,1,13,0.5783326240128623,0.8024691358024691,0.5940759883207751,0.5652173913043478,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",2:00 PM,31.1,0.54,37.56249377456793,14,4,1,1,13,0.5727053482763513,0.6666666666666666,0.5944599912063881,0.6086956521739131,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",3:00 PM,31.55,0.42,25.08249080085086,15,4,1,1,13,0.5748333096893177,0.5185185185185185,0.5377813564304046,0.6521739130434783,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",4:00 PM,31.8,0.26,31.279754912304007,16,4,1,1,13,0.576015510474299,0.32098765432098764,0.5659265796265129,0.6956521739130435,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",5:00 PM,35.74,0.09,42.33398277462527,17,4,1,1,13,0.5946469948456047,0.1111111111111111,0.6161299766175634,0.7391304347826086,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",6:00 PM,43.06,0.0,44.22053951771954,18,4,1,1,13,0.6292618338298577,0.0,0.6246978800748941,0.7826086956521738,0.2727272727272727,0.0,0.16666666666666666
