Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp
"1-Jan, 2019",12:00 AM,28.32,0.23,26.77308981487247,0,1,1,2,1,0.5595592755473591,0.23232323232323235,0.5454593068499812
"1-Jan, 2019",1:00 AM,10.07,0.23,5.2032231516241705,1,1,1,2,1,0.47325861824372256,0.23232323232323235,0.44749854535436223
"1-Jan, 2019",2:00 AM,-4.08,0.23,4.9742237628502135,2,1,1,2,1,0.4063460538137798,0.23232323232323235,0.4464585317624122
"1-Jan, 2019",3:00 AM,-9.91,0.22,-1.4807042920059583,3,1,1,2,1,0.3787771315080154,0.22222222222222224,0.4171431132887998
"1-Jan, 2019",4:00 AM,-7.41,0.23,-5.538412481964422,4,1,1,2,1,0.3905991393578286,0.23232323232323235,0.3987148035351465
"1-Jan, 2019",5:00 AM,-12.55,0.25,-9.719619655427243,5,1,1,2,1,0.36629309121861264,0.25252525252525254,0.3797256162083074
"1-Jan, 2019",6:00 AM,-17.25,0.29,-17.412414229499394,6,1,1,2,1,0.3440677164609638,0.29292929292929293,0.3447883573800238
"1-Jan, 2019",7:00 AM,-15.07,0.31,-12.900867222884562,7,1,1,2,1,0.3543765073060009,0.31313131313131315,0.36527780162143353
"1-Jan, 2019",8:00 AM,-4.93,0.33,2.095065865231513,8,1,1,2,1,0.40232657114484327,0.33333333333333337,0.4333826743860004
"1-Jan, 2019",9:00 AM,-6.33,0.38,-10.66312344333032,9,1,1,2,1,0.3957062467489479,0.38383838383838387,0.375440640738595
"1-Jan, 2019",10:00 AM,-4.93,0.43,-3.872141059430013,10,1,1,2,1,0.40232657114484327,0.43434343434343436,0.4062822688309787
"1-Jan, 2019",11:00 AM,0.45,0.48,-2.001321068610228,11,1,1,2,1,0.42776753203764134,0.48484848484848486,0.4147787029435822
"1-Jan, 2019",12:00 PM,0.12,0.55,-5.535617943357959,12,1,1,2,1,0.42620702700146595,0.5555555555555557,0.3987274950892572
"1-Jan, 2019",1:00 PM,-0.02,0.58,8.317784587847028,13,1,1,2,1,0.42554499456187644,0.5858585858585859,0.461643501129037
