Date;"Start Time";"End Time";"Forecast [MW]";"Actual [MW]";"Offshore contribution [MW]"
2018-01-01;00:00:00;00:15:00;13097;12679,1;2786,1
2018-01-01;00:15:00;00:30:00;13284;13057,4;2786,9
2018-01-01;00:30:00;00:45:00;13477;13265,7;2722,8
2018-01-01;00:45:00;01:00:00;13652;13138,8;2595,1
2018-01-01;01:00:00;01:15:00;13699;13731,9;2734,3
2018-01-01;01:15:00;01:30:00;13883;13984,1;2883,6
2018-01-01;01:30:00;01:45:00;14059;14173,4;2927,8
2018-01-01;01:45:00;02:00:00;14244;14306,6;2943,7
2018-01-01;02:00:00;02:15:00;14451;14433,6;2972,4
2018-01-01;02:15:00;02:30:00;14699;14954,7;2987,2
2018-01-01;02:30:00;02:45:00;14944;15116,3;2982,3
2018-01-01;02:45:00;03:00:00;15182;15364,6;2970,5
2018-01-01;03:00:00;03:15:00;15417;15738,7;2960,1
2018-01-01;03:15:00;03:30:00;15647;15912,3;2965,4
2018-01-01;03:30:00;03:45:00;15874;15905,9;2969,7
2018-01-01;03:45:00;04:00:00;16097;16028,5;2967
2018-01-01;04:00:00;04:15:00;16283;16077,8;2965,7
2018-01-01;04:15:00;04:30:00;16410;15819,4;2970,8
2018-01-01;04:30:00;04:45:00;16538;15649,8;2954,8
2018-01-01;04:45:00;05:00:00;16665;15471,4;2962,1
2018-01-01;05:00:00;05:15:00;16784;15799,5;2975,6
2018-01-01;05:15:00;05:30:00;16894;16040,7;2962,5
2018-01-01;05:30:00;05:45:00;17006;16336;2948,3
2018-01-01;05:45:00;06:00:00;17121;16199,2;2952,4
2018-01-01;06:00:00;06:15:00;17205;16200,2;2965,4
2018-01-01;06:15:00;06:30:00;17242;16343,4;2965,3
2018-01-01;06:30:00;06:45:00;17279;16191,7;2960,7
2018-01-01;06:45:00;07:00:00;17314;16235,4;2966
2018-01-01;07:00:00;07:15:00;17329;16098;2953,7
2018-01-01;07:15:00;07:30:00;17300;16136,6;2953,9
2018-01-01;07:30:00;07:45:00;17270;15633,1;2959,6
2018-01-01;07:45:00;08:00:00;17241;15924,5;2953,4
2018-01-01;08:00:00;08:15:00;17202;15289,1;2955,4
2018-01-01;08:15:00;08:30:00;17150;15072,7;2961,4
2018-01-01;08:30:00;08:45:00;17102;14950,8;2959,3
2018-01-01;08:45:00;09:00:00;17055;15005,5;2955,3
2018-01-01;09:00:00;09:15:00;17006;15225,2;2956,5
2018-01-01;09:15:00;09:30:00;16971;15236,6;2946,5
2018-01-01;09:30:00;09:45:00;16936;15278,2;2945,9
2018-01-01;09:45:00;10:00:00;16904;15227,2;2951,2
2018-01-01;10:00:00;10:15:00;16883;15327,7;2869,7
2018-01-01;10:15:00;10:30:00;16836;15521,6;2882,8
2018-01-01;10:30:00;10:45:00;16795;15376,3;2859,7
2018-01-01;10:45:00;11:00:00;16753;15344,3;2861,8
2018-01-01;11:00:00;11:15:00;16692;15782,7;2923,9
2018-01-01;11:15:00;11:30:00;16605;15836,1;2961,2
